artikelnummer	de	en	fr
MO045P50	Winkel 45° d50 mm  Mocca	Elbow 45° d50 mm  Mocca	Coude 45° d20 mm d50 mm Mocca
MO045P63	Winkel 45° d63 mm  Mocca	Elbow 45° d63 mm  Mocca	Coude 45° d20 mm d63 mm Mocca
MO0906GP321	Winkel 90° IG d32-1" Mocca Hexa 6-Kant	Elbow 90° "f" d32-1" Mocca Hexa	Coude 90° (filetage femelle Hexa) d32-1" Mocca
MO090GP2012	Winkel 90° IG d20-1/2" Mocca	Elbow 90° "f" d20-1/2"  Mocca	Coude 90° (filetage femelle) d20-1/2" Mocca
MO090GP2512	Winkel 90° IG d25-1/2" Mocca	Elbow 90° "f" d25-1/2" Mocca	Coude 90° (filetage femelle) d25-1/2" Mocca
MO090GP2534	Winkel 90° IG d25-3/4 Mocca	Elbow 90° "f" d25-3/4" Mocca	Coude 90° (filetage femelle) d25-3/4" Mocca
MO090GP321	Winkel 90° IG d32-1 Mocca	Elbow 90° "f" d32-1" mm  Mocca	Coude 90° (filetage femelle) d32-1" mm Mocca
MO090GP3234	Winkel 90° IG d32-3/4" Mocca	Elbow 90° "f" d32-3/4" Mocca	Coude 90° (filetage femelle) 90° d32-3/4" Mocca
MO090LP32	Bogen 90° d32 mm Mocca	Elbow 90° d32 mm Mocca	Coude 90° d32 mm Mocca
MO090P20	Winkel 90° d20 mm  Mocca	Elbow 90° d20 mm  Mocca	Coude 90° d20 mm Mocca
MO090P25	Winkel 90° d25 mm  Mocca	Elbow 90° d25 mm  Mocca	Coude 90° d25 mm Mocca
MO090P32	Winkel 90° d32 mm  Mocca	Elbow 90° d32 mm  Mocca	Coude 90° d32 mm Mocca
MO090P40	Winkel 90° d40 mm  Mocca	Elbow 90° d40 mm  Mocca	Coude 90° d40 mm Mocca
MO090P50	Winkel 90° d50 mm  Mocca	Elbow 90° d50 mm  Mocca	Coude 90° d50 mm Mocca
MO090P63	Winkel 90° d63 mm  Mocca	Elbow 90° d63 mm  Mocca	Coude 90° d63 mm Mocca
MO0926GP321	Winkel 90° AG d32-1" Mocca Hexa 6-Kant	Elbow 90° "m" d32-1" Mocca Hexa	Coude 90° (filetage mâle Hexa) 90° (filetage mâle) d32-1" Mocca
MO092GP2012	Winkel 90° AG d20-1/2" Mocca	Elbow 90° "m" d20-1/2" Mocca	Coude 90° (filetage mâle) d20-1/2" Mocca
MO092GP2512	Winkel 90° AG d25-1/2" Mocca	Elbow 90° "m" d25-1/2" Mocca	Coude 90° (filetage mâle) d25-1/2" Mocca
MO092GP2534	Winkel 90° AG d25-3/4" Mocca	Elbow 90° "m" d25-3/4" Mocca	Coude 90° (filetage mâle) d25-3/4" Mocca
MO092GP321	Winkel 90° AG d32-1 Mocca	Elbow 90° "m" d32-1" Mocca	Coude 90° (filetage mâle) d32-1" Mocca
MO1306GP321	T-Stück 90° IG d32-1 Mocca Hexa 6-Kant	Tee 90° "f" d32-1" Mocca Hexa	Té 90° (filetage femelle Hexa) 90° d32-1" Mocca
