artikelnummer	de	en	fr
CU090GP2534	Winkel 90° IG d25-3/4" curry	Elbow 90° "f" d25-3/4" curry	Coude 90° (filetage femelle) d25-3/4" curry
CU090GP321	Winkel 90° IG d32-1" curry	Elbow 90° "f" d32-1 mm curry	Coude 90° (filetage femelle) d32-1 mm curry
CU090GP3234	Winkel 90° IG d32-3/4" curry	Elbow 90° "f" d32-3/4" curry	Coude 90° (filetage femelle) d32-3/4" curry
CU090LP25	Bogen 90° d25 mm curry	Elbow 90° d25 mm curry	Coude 90° d25 mm curry
CU090LP32	Bogen 90° d32 mm curry	Elbow 90° d32 mm curry	Coude 90° d32 mm curry
CU090P110	Winkel 90° d110 mm curry	Elbow 90° d110 mm curry	Coude 90° d110 mm curry
CU090P125	Winkel 90° d125 mm curry	Elbow 90° d125 mm curry	Coude 90° d125 mm curry
CU090P20	Winkel 90° d20 mm curry	Elbow 90° d20 mm curry	Coude 90° d20 mm curry
CU090P25	Winkel 90° d25 mm curry	Elbow 90° d25 mm curry	Coude 90° d25 mm curry
CU090P32	Winkel 90° d32 mm curry	Elbow 90° d32 mm curry	Coude 90° d32 mm curry
CU090P40	Winkel 90° d40 mm curry	Elbow 90° d40 mm curry	Coude 90° d40 mm curry
CU090P50	Winkel 90° d50 mm curry	Elbow 90° d50 mm curry	Coude 90° d50 mm curry
CU090P63	Winkel 90° d63 mm curry	Elbow 90° d63 mm curry	Coude 90° d63 mm curry
CU090P75	Winkel 90° d75 mm curry	Elbow 90° d75 mm curry	Coude 90° d75 mm curry
CU090P90	Winkel 90° d90 mm curry	Elbow 90° d90 mm curry	Coude 90° d90 mm curry
CU091P20	Winkel 90° I/A d20 mm curry	Elbow 90° m/f d20 mm curry	Coude 90° (femelle/mâle) d20 mm curry
CU091P25	Winkel 90° I/A d25 mm curry	Elbow 90° m/f d25mm curry	Coude 90° (femelle/mâle) d25mm curry
CU0926GP321	Winkel 90° AG d32-1" curry Hexa 6-Kant	Elbow 90° "m" d32-1" curry Hexa	Coude 90° (filetage mâle Hexa) d32-1" curry
CU092GP2012	Winkel 90° AG d20-1/2" curry	Elbow 90° "m" d20-1/2" curry	Coude 90° (filetage mâle) d20-1/2" curry
CU092GP2512	Winkel 90° AG d25-1/2" curry	Elbow 90° "m" d25-1/2" curry	Coude 90° (filetage mâle) d25-1/2" curry
CU092GP2534	Winkel 90° AG d25-3/4" curry	Elbow 90° "m" d25-3/4" curry	Coude 90° (filetage mâle) d25-3/4" curry
CU092GP321	Winkel 90° AG d32-1 curry	Elbow 90° "m" d32-1" curry	Coude 90° (filetage mâle) d32-1 curry
CU1306GP321	T-Stück 90° IG d32-1" curry Hexa 6-Kant	Tee 90° "f" d32-1" curry Hexa	Té 90° (filetage femelle Hexa) 90° d32-1" curry
CU130GP2012	T-Stück 90° IG d20-1/2" curry	Tee 90° "f" d20-1/2" curry	Té 90° (filetage femelle) d20-1/2" curry
CU130GP2512	T-Stück 90° IG d25-1/2" curry	Tee 90° "f" d25-1/2" curry	Té 90° (filetage femelle) d25-1/2" curry
CU130GP2534	T-Stück 90° IG d25-3/4" curry	Tee 90° "f" d25-3/4" curry	Té 90° (filetage femelle) d25-3/4" curry
CU130GP321	T-Stück 90° IG d32-1" curry	Tee 90° "f" d32-1" curry	Té 90° (filetage femelle) d32-1" curry
CU130GP3234	T-Stück 90° IG d32-3/4" curry	Tee "f" d32-3" curry	Té 90° (filetage femelle) d32-3/4" curry
CU130P110	T-Stück d110 mm curry	Tee d110 mm curry	Té d110 mm curry
CU130P11075	T-Stück red. d110-75 mm curry	Reducing tee d110-75 mm curry	Té réduit d110-75 mm curry
CU130P11090	T-Stück red. d110-90 mm curry	Reducing tee d110-90 mm curry	Té réduit d110-90 mm curry
CU130P125	T-Stück d125 mm curry	Tee d125 mm curry	Té d125 mm curry
CU130P20	T-Stück d20 mm curry	Tee d20 mm curry	Té d20 mm curry
CU130P25	T-Stück d25 mm curry	Tee d25 mm curry	Té d25 mm curry
CU130P2520	T-Stück red. d25-20 mm curry	Reducing tee d25-20 mm curry	Té réduit d25-20 mm curry
CU130P32	T-Stück d32 mm curry	Tee d32 mm curry	Té d32 mm curry
CU130P3220	T-Stück red. d32-20 mm curry	Reducing tee d32-20 mm curry	Té réduit d32-20 mm curry
CU130P3225	T-Stück red. d32-25 mm curry	Reducing tee d32-25 mm curry	Té réduit d32-25 mm curry
CU130P40	T-Stück d40 mm curry	Tee d40 mm curry	Té d40 mm curry
CU130P4020	T-Stück red. d40-20 mm curry	Reducing tee d40-20 mm curry	Té réduit d40-20 mm curry
CU130P4025	T-Stück red. d40-25 mm curry	Reducing tee d40-25 mm curry	Té réduit d40-25 mm curry
CU130P4032	T-Stück red. d40-32 mm curry	Reducing tee d40-32 mm curry	Té réduit d40-32 mm curry
CU130P50	T-Stück d50 mm curry	Tee d50 mm curry	Té d50 mm curry
CU130P5020	T-Stück red. d50-20 mm curry	Reducing tee d50-20 mm curry	Té réduit d50-20 mm curry
